date,sma_9,sma_22,sma_55,sma_200,MACD_12_26_9,MACD_20_80_2,MACD_40_80_2,MACD_1_68_2,MACD_21_81_2,rsi_7,rsi_14,rsi_21,rsi_44,cci_44,adx_44,wma_22,wma_220,vwap,ema_9,ema_22,ema_55,ema_200,trix_10,trix_40,etiqueta
2020-01-23 11:30:00,570.710844444444,567.4176863636349,568.225220000001,561.0026104999998,1.4485200941447829,2.2924655827386005,1.316351487046063,4.600382447432594,2.2395562996912304,63.46095555052672,59.92665770644244,57.6029469843381,55.04584610783863,119.78839175943372,11.089586884107884,568.9549754940712,563.4342684656519,727.1014247026249,570.4197740626605,568.6636716707445,567.3757263541822,566.9613379051292,0.054673258676585235,0.009064551656567943,1
2020-01-23 11:25:00,571.1630111111107,567.8267772727257,568.2315836363646,561.0893104999999,1.5363366708908188,2.480800420551418,1.391000402467398,5.20500904315918,2.421585242403239,66.63352342395957,61.68667285641324,58.85972409854203,55.68832065161618,153.81730167907247,11.364990614514138,569.3795245059289,563.5354714520773,727.0510582061569,570.7958192501284,568.9798741341581,567.5515932701043,567.0144589209985,0.05708423110284411,0.009237546187779166,1
2020-01-23 11:20:00,571.7855666666662,568.3352181818167,568.2793509090918,561.1803889999999,1.77874069345944,2.810166317009248,1.5162895644075434,7.380398636111067,2.7370198141159108,74.58370107907346,66.63575047076361,62.52792076490007,57.64005266646888,194.19920741512774,11.691737953257768,569.9768221343874,563.6580756396546,726.9655079204394,571.5757954001027,569.4769024703182,567.8067399390291,567.0908891804911,0.061137428035706876,0.009507956602261558,1
2020-01-23 11:15:00,572.2325777777774,568.7504499999985,568.3148618181827,561.2855044999999,1.966527996686068,3.1102401237787944,1.636175969008491,7.387282733615052,3.0258420067344787,75.22409325483443,67.06837270837497,62.85724293103609,57.82040519883214,194.88413754251974,12.019625820377481,570.5496814229249,563.7823923858494,726.8664390243515,572.2452563200821,569.9504848642036,568.0608956554923,567.1688216264564,0.06560211452206755,0.009863856704295237,1
2020-01-23 11:10:00,572.6220999999997,569.2193999999985,568.3631818181827,561.3733974999999,2.0779861060893836,3.355993106416122,1.741424179998944,7.011775987713122,3.264238980217101,73.67357124344873,66.39421500469588,62.43709732928774,57.6369760221722,171.9576388126152,12.270531989164319,571.0719814229249,563.9047975318798,726.6791199180046,572.7475850560658,570.3684340064468,568.3000386677962,567.2443248938548,0.0693254282271294,0.010286271925075141,1
2020-01-23 11:05:00,572.8947666666664,569.6113999999984,568.3848909090918,561.4412054999998,2.0033930452962068,3.442708717534856,1.7952248548986063,5.125865089518584,3.3531692472079158,59.1463284664064,59.691344914502665,58.188664540341456,55.750974375876325,107.02838637018725,12.31703375917704,571.4028162055336,564.0112937967914,726.5339863611543,572.8028680448526,570.5993527884949,568.4687515725178,567.301834098891,0.07006357643302152,0.010726223665691315,1
2020-01-23 11:00:00,572.8864333333331,569.8471272727257,568.390658181819,561.4981554999998,1.7917729202267765,3.395859392090415,1.8036135871919896,3.3906516086630063,3.315916337117301,48.780811035865874,54.16669603268036,54.523830261115826,54.045524331177575,49.45919559461586,12.19631867077626,571.5574770750987,564.1028508926368,726.3536221787969,572.5202944358821,570.6681047199302,568.5730818734993,567.3425123665638,0.06695487954242463,0.01114343099333226,1
2020-01-23 10:55:00,572.3488555555554,570.028004545453,568.3143272727282,561.5312589999999,1.3008252675915628,3.0770444155705263,1.717203237853596,-0.41690351042859675,3.021421702143016,33.224053800692545,43.972575678413214,47.23737353513774,50.362022805719505,27.06025027326801,12.109238912913584,571.3594660079051,564.1597436487043,726.1944953229404,571.5302355487057,570.3987043095015,568.5372575208743,567.3447759251055,0.05757905680146003,0.011458517450479988,1
2020-01-23 10:50:00,572.4955555555553,570.4021090909074,568.3288545454554,561.5815609999999,1.2755104369788342,3.1193645464236397,1.7479544876990758,4.149529924656235,3.0655230864183522,53.8682899235671,55.091164847965686,54.976773520723704,54.27537029169134,88.31368997194618,12.07588658518122,571.5535786561265,564.2592722459893,726.0598204667514,571.6762484389645,570.5605821956318,568.6702233237002,567.3936866124179,0.05020216687505741,0.011778403349893551,1
2020-01-23 10:45:00,572.5355555555552,570.671654545453,568.3379927272737,561.6365969999998,1.2123992684134919,3.123955409577661,1.7656987764142968,3.6793971732168984,3.073873486914408,52.44485619178104,54.20580125815096,54.335371165016696,53.94126837323373,97.73018630594542,12.084524401250752,571.6838300395257,564.3555000041135,725.9520427339347,571.7209987511716,570.6770533090552,568.7855724907108,567.4385255515979,0.04387999350070615,0.0120914268104233,1
